team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,date,hour,category,total attempts team1,total attempts team2,goal inside the penalty area team1,goal inside the penalty area team2,goal outside the penalty area team1,goal outside the penalty area team2,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,attempts outside the penalty area  team1,attempts outside the penalty area  team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,offsides team1,offsides team2,passes team1,passes team2,passes completed team1,passes completed team2,crosses team1,crosses team2,crosses completed team1,crosses completed team2,switches of play completed team1,switches of play completed team2,corners team1,corners team2,free kicks team1,free kicks team2,penalties scored team1,penalties scored team2,goal preventions team1,goal preventions team2,own goals team1,own goals team2,defensive pressures applied team1,defensive pressures applied team2
TUNISIA,AUSTRALIA,50%,31%,19%,0,1,26 NOV 2022,11 : 00,Group D,13,8,0,1,0,0,0,1,4,2,5,3,9,5,4,3,3,0,0,0,16,15,3,0,501,334,396,239,23,23,5,4,6,2,5,2,15,19,0,0,9,13,0,0,217,273
POLAND,SAUDI ARABIA,30%,57%,14%,2,0,26 NOV 2022,14 : 00,Group C,8,16,2,0,0,0,1,0,3,5,3,9,8,9,0,7,3,2,0,0,18,15,0,0,303,560,236,494,19,24,8,4,5,13,4,5,15,17,0,0,16,9,0,0,329,173
FRANCE,DENMARK,44%,44%,12%,2,1,26 NOV 2022,17 : 00,Group D,21,10,2,1,0,0,2,1,6,2,8,6,16,5,5,5,1,2,0,0,4,9,1,1,503,537,437,473,23,18,12,4,7,14,6,4,10,5,0,0,10,21,0,0,269,282
ARGENTINA,MEXICO,50%,36%,14%,2,0,26 NOV 2022,20 : 00,Group C,5,4,1,0,1,0,2,0,2,1,3,2,2,1,3,3,1,4,0,0,15,19,2,4,533,356,464,287,14,17,2,4,3,2,4,2,23,17,0,0,4,5,0,0,220,327
JAPAN,COSTA RICA,48%,39%,13%,0,1,27 NOV 2022,11 : 00,Group E,14,4,0,1,0,0,0,1,3,1,4,1,7,1,7,3,3,3,0,0,22,9,0,2,575,444,510,371,17,5,1,0,2,7,5,0,11,22,0,0,4,14,0,0,300,294
BELGIUM,MOROCCO,56%,32%,12%,0,2,27 NOV 2022,14 : 00,Group F,10,11,0,2,0,0,0,2,4,4,6,6,5,6,5,5,1,1,0,0,10,14,3,3,671,317,598,275,19,9,3,4,6,10,9,1,17,13,0,0,11,10,0,0,194,360
CROATIA,CANADA,41%,46%,13%,4,1,27 NOV 2022,17 : 00,Group F,13,9,3,1,1,0,4,1,10,2,2,3,9,2,4,7,2,2,0,0,13,5,1,3,462,511,391,434,22,15,5,5,6,7,5,2,8,14,0,0,9,13,0,0,347,316
SPAIN,GERMANY,56%,33%,11%,1,1,27 NOV 2022,20 : 00,Group E,7,10,1,1,0,0,1,1,3,4,4,5,3,7,4,3,1,3,0,0,13,11,2,5,647,352,565,281,9,13,2,1,9,2,6,5,16,15,0,0,11,7,0,0,275,387
CAMEROON,SERBIA,38%,49%,13%,3,3,28 NOV 2022,11 : 00,Group G,13,16,3,2,0,1,3,3,8,6,3,8,9,11,4,5,2,2,0,0,8,13,0,4,364,513,271,433,20,23,1,4,5,5,4,3,17,8,0,0,16,13,0,0,285,234
KOREA REPUBLIC,GHANA,53%,32%,15%,2,3,28 NOV 2022,14 : 00,Group H,21,8,2,3,0,0,2,2,6,3,8,3,15,7,6,1,2,2,0,0,13,9,1,1,540,319,477,260,46,13,16,4,16,3,12,5,10,14,0,0,8,21,0,0,220,324
BRAZIL,SWITZERLAND,51%,40%,9%,1,0,28 NOV 2022,17 : 00,Group G,9,4,1,0,0,0,1,0,5,0,2,1,6,2,3,2,1,1,0,0,10,17,3,1,565,488,498,415,26,11,3,3,6,2,8,3,18,13,0,0,4,9,0,0,282,344
PORTUGAL,URUGUAY,53%,35%,12%,2,0,28 NOV 2022,20 : 00,Group H,14,10,1,0,1,0,0,0,4,3,7,6,4,6,10,4,3,2,0,0,10,16,2,0,596,390,517,306,16,18,4,5,9,2,6,2,15,13,1,0,11,14,0,0,226,362
NETHERLANDS,QATAR,54%,38%,8%,2,0,29 NOV 2022,16 : 00,Group A,13,6,2,0,0,0,1,0,4,4,5,2,10,2,3,4,1,0,0,0,19,9,4,0,795,459,740,394,11,16,1,4,1,10,4,2,9,24,0,0,5,14,0,0,319,322
ECUADOR,SENEGAL,51%,32%,17%,1,2,29 NOV 2022,16 : 00,Group A,8,15,1,2,0,0,1,0,4,5,3,8,5,11,3,4,0,1,0,0,23,11,0,3,432,269,353,198,19,20,6,5,1,6,3,6,14,22,0,1,15,8,0,0,190,243
WALES,ENGLAND,33%,58%,10%,0,3,29 NOV 2022,20 : 00,Group B,7,17,0,2,0,1,0,2,1,7,3,6,1,13,6,4,2,0,0,0,16,9,1,1,325,588,261,529,4,17,1,7,1,6,1,6,10,17,0,0,17,8,0,0,328,167
IRAN,UNITED STATES,42%,45%,13%,0,1,29 NOV 2022,20 : 00,Group B,6,12,0,1,0,0,0,1,2,5,4,4,5,8,1,4,3,1,0,0,13,10,2,1,463,470,379,413,18,22,3,2,11,8,1,5,11,15,0,0,13,6,0,0,295,302
AUSTRALIA,DENMARK,24%,60%,16%,1,0,30 NOV 2022,16 : 00,Group D,8,14,1,0,0,0,1,0,4,3,2,7,3,11,5,3,2,1,0,0,11,10,1,3,286,650,187,567,11,32,2,5,1,9,2,6,13,12,0,0,14,8,0,0,341,161
TUNISIA,FRANCE,30%,56%,14%,1,0,30 NOV 2022,16 : 00,Group D,5,9,0,0,1,0,1,0,3,3,2,4,2,4,3,5,1,0,0,0,14,6,3,2,328,636,266,566,27,20,4,5,4,3,7,8,8,17,0,0,11,6,0,0,400,202
POLAND,ARGENTINA,24%,67%,9%,0,2,30 NOV 2022,20 : 00,Group C,4,25,0,2,0,0,0,2,0,13,2,8,2,21,2,4,1,1,0,0,6,11,0,0,321,862,261,814,5,22,2,5,8,11,1,9,12,5,0,0,25,4,0,0,438,141
SAUDI ARABIA,MEXICO,29%,55%,17%,1,2,30 NOV 2022,20 : 00,Group C,10,25,1,1,0,1,1,1,2,10,8,8,6,10,4,15,6,1,0,0,20,18,2,6,297,412,197,336,9,34,2,6,1,4,1,8,23,22,0,0,26,10,0,0,269,229
CROATIA,BELGIUM,43%,47%,10%,0,0,01 DEC 2022,16 : 00,Group F,11,15,0,0,0,0,0,0,4,4,5,7,7,12,4,3,0,1,0,0,7,9,4,0,578,596,504,531,24,24,6,8,18,4,2,4,9,11,0,0,16,11,0,0,328,346
CANADA,MOROCCO,52%,36%,12%,1,2,01 DEC 2022,16 : 00,Group F,5,7,0,1,0,1,0,1,0,2,4,2,4,4,1,3,4,0,0,0,14,14,4,4,539,384,472,308,20,7,4,1,3,14,6,2,18,18,0,0,7,7,0,1,224,324
JAPAN,SPAIN,14%,78%,8%,2,1,01 DEC 2022,20 : 00,Group E,6,14,1,1,1,0,2,1,3,5,2,3,4,7,2,7,3,0,0,0,9,6,2,2,225,1070,167,992,6,20,3,2,2,9,0,2,8,11,0,0,14,6,0,0,637,150
COSTA RICA,GERMANY,27%,60%,13%,2,4,01 DEC 2022,20 : 00,Group E,8,32,2,4,0,0,0,4,6,11,1,17,6,24,2,8,1,0,0,0,3,9,4,3,347,727,269,661,12,38,3,12,4,5,1,14,12,7,0,0,32,8,0,0,378,230
GHANA,URUGUAY,46%,39%,15%,0,2,02 DEC 2022,16 : 00,Group H,9,12,0,2,0,0,0,1,4,7,4,5,4,7,5,5,2,5,0,0,18,11,2,2,460,446,377,361,20,15,2,4,3,6,5,2,12,20,0,0,12,9,0,0,248,293
KOREA REPUBLIC,PORTUGAL,34%,55%,11%,2,1,02 DEC 2022,16 : 00,Group H,12,12,2,1,0,0,1,1,6,4,4,6,6,5,6,7,2,0,0,0,9,11,1,5,359,606,304,541,13,22,3,6,9,11,5,4,15,10,0,0,14,12,0,0,359,233
SERBIA,SWITZERLAND,45%,41%,14%,2,3,02 DEC 2022,20 : 00,Group G,11,14,2,3,0,0,1,3,4,7,6,3,10,10,1,4,7,4,0,0,18,13,0,0,476,403,390,325,23,13,6,4,7,9,2,0,14,18,0,0,14,10,0,0,276,253
CAMEROON,BRAZIL,31%,56%,13%,1,0,02 DEC 2022,20 : 00,Group G,7,19,1,0,0,0,1,0,3,6,3,11,5,14,2,5,5,2,1,0,14,14,0,1,295,548,239,491,12,28,3,8,4,3,3,11,15,14,0,0,20,7,0,0,321,226
NETHERLANDS,UNITED STATES,33%,54%,13%,3,1,03 DEC 2022,16 : 00,Round of 16,11,18,3,1,0,0,3,1,6,7,4,4,7,11,4,7,2,0,0,0,10,5,0,3,396,567,320,487,13,27,4,2,4,5,4,5,8,10,0,0,18,13,0,0,325,256
ARGENTINA,AUSTRALIA,53%,35%,12%,2,1,03 DEC 2022,20 : 00,Round of 16,14,5,2,0,0,0,1,0,5,2,7,2,11,3,3,2,0,2,0,0,8,15,4,0,711,450,635,381,6,15,1,2,5,8,1,3,15,11,0,0,5,14,1,0,240,453
FRANCE,POLAND,48%,42%,10%,3,1,04 DEC 2022,16 : 00,Round of 16,16,11,3,1,0,0,3,0,7,3,7,5,10,8,6,3,1,2,0,0,10,8,3,1,540,466,481,391,27,18,4,7,4,5,7,1,8,11,0,1,11,16,0,0,220,297
ENGLAND,SENEGAL,54%,35%,11%,3,0,04 DEC 2022,20 : 00,Round of 16,8,10,3,0,0,0,3,0,4,2,4,6,7,4,1,6,0,1,0,0,16,12,0,0,597,393,523,320,19,13,7,3,11,7,3,3,12,16,0,0,10,8,0,0,230,339
JAPAN,CROATIA,35%,51%,14%,1,1,05 DEC 2022,16 : 00,Round of 16,12,16,1,1,0,0,1,1,4,4,4,8,5,9,7,7,0,2,0,0,13,16,3,0,532,735,414,624,28,35,6,9,5,7,8,5,16,16,0,0,18,11,0,0,405,308
BRAZIL,KOREA REPUBLIC,47%,44%,9%,4,1,05 DEC 2022,20 : 00,Round of 16,18,10,4,0,0,1,3,0,9,6,8,2,14,6,4,4,0,1,0,0,8,13,0,5,616,548,556,486,18,14,4,1,9,13,5,4,16,8,1,0,10,18,0,0,310,329
MOROCCO,SPAIN,22%,68%,10%,0,0,06 DEC 2022,16 : 00,Round of 16,6,13,0,0,0,0,0,0,3,1,3,6,3,9,3,4,1,1,0,0,15,14,5,4,323,1041,229,967,10,27,4,4,4,8,0,8,18,20,0,0,14,6,0,0,573,217
PORTUGAL,SWITZERLAND,43%,48%,9%,6,1,06 DEC 2022,20 : 00,Round of 16,14,10,6,1,0,0,5,0,9,1,2,7,9,5,5,5,0,2,0,0,12,10,3,3,461,512,392,436,14,15,6,1,7,3,6,6,13,15,0,0,10,15,0,0,357,240
CROATIA,BRAZIL,45%,45%,10%,1,1,09 DEC 2022,16 : 00,Quarter-final,9,20,1,1,0,0,1,1,1,11,4,4,5,12,4,8,2,3,0,0,22,24,3,3,715,695,632,625,22,25,5,6,13,4,3,7,27,25,0,0,21,9,0,0,365,423
NETHERLANDS,ARGENTINA,45%,44%,11%,2,2,09 DEC 2022,20 : 00,Quarter-final,5,15,2,2,0,0,2,1,2,6,2,8,3,5,2,10,8,8,1,0,30,18,1,2,651,603,557,511,22,16,4,4,5,4,2,8,20,30,0,1,15,5,0,0,401,323
MOROCCO,PORTUGAL,22%,65%,13%,1,0,10 DEC 2022,16 : 00,Quarter-final,9,11,1,0,0,0,1,0,3,3,6,6,5,7,4,4,3,1,1,0,15,9,2,2,229,678,171,592,8,33,3,7,4,9,3,9,11,17,0,0,11,10,0,0,373,165
ENGLAND,FRANCE,54%,36%,10%,1,2,10 DEC 2022,20 : 00,Quarter-final,14,9,1,1,0,1,0,2,6,5,4,3,6,6,8,3,1,3,0,0,10,14,1,2,508,369,453,310,22,13,5,6,5,2,5,2,14,11,1,0,9,15,0,0,193,308
ARGENTINA,CROATIA,34%,54%,12%,3,0,13 DEC 2022,20 : 00,Semi-final,10,12,3,0,0,0,1,0,7,3,2,7,7,6,3,6,2,2,0,0,15,8,1,0,408,624,344,551,8,20,2,4,4,8,2,4,6,16,1,0,12,10,0,0,321,260
FRANCE,MOROCCO,34%,55%,11%,2,0,14 DEC 2022,20 : 00,Semi-final,14,13,2,0,0,0,0,0,2,1,8,6,12,8,2,5,0,1,0,0,11,11,4,3,358,583,307,518,5,22,2,1,1,8,2,3,13,15,0,0,13,14,0,0,328,218
CROATIA,MOROCCO,45%,45%,10%,2,1,17 DEC 2022,16 : 00,Play-off for third place,14,7,2,1,0,0,2,0,4,2,8,5,7,5,7,2,0,2,0,0,13,11,2,2,491,494,430,428,21,20,3,5,7,12,6,3,13,15,0,0,7,14,0,0,288,277
ARGENTINA,FRANCE,46%,40%,14%,3,3,18 DEC 2022,16 : 00,Final,21,10,3,3,0,0,1,1,9,5,9,3,10,7,11,3,4,3,0,0,26,19,4,4,648,516,544,419,20,24,4,3,6,5,6,5,22,28,1,2,11,21,0,0,280,409
